Season_ID,Award_ID,Player_ID
2021,1,814
2022,1,814
2023,1,533
2024,1,814
2025,1,939
2021,2,675
2022,2,928
2023,2,843
2024,2,1050
2025,2,956
2021,3,910
2022,3,727
2023,3,475
2024,3,910
2025,3,328
2021,4,553
2022,4,1030
2023,4,709
2024,4,801
2025,4,858
2021,5,585
2022,5,411
2023,5,680
2024,5,1037
2025,5,303
2021,6,205
2022,6,577
2023,6,577
2024,6,765
2025,6,955
2021,7,355
2022,7,955
2023,7,814
2024,7,494
2025,7,939
2021,8,355
2022,8,955
2023,8,505
2024,8,205
2025,8,955
2021,9,979
2022,9,727
2023,9,727
2024,9,27
2025,9,289
2021,10,577
2022,10,853
2023,10,765
2024,10,1037
2025,10,577
