Player_ID,Player_Name,Career_Start,Career_End,Position_ID,Height (in),Weight (lb),Birth Date
1,A.J. Green,2023,2026,6,76,190,27-Sep-99
2,A.J. Lawson,2023,2026,6,78,179,15-Jul-00
3,Aaron Gordon,2015,2026,3,80,235,16-Sep-95
4,Aaron Henry,2022,2022,3,77,210,30-Aug-99
5,Aaron Holiday,2019,2026,6,73,185,30-Sep-96
6,Aaron Nesmith,2021,2026,7,77,215,16-Oct-99
7,Aaron Wiggins,2022,2026,6,77,190,2-Jan-99
8,Abdel Nader,2018,2022,3,77,225,25-Sep-93
9,Ace Bailey,2026,2026,7,81,200,13-Aug-06
10,Adam Flagler,2024,2025,6,73,180,1-Dec-99
11,Adam Mokoka,2020,2021,6,76,190,18-Jul-98
12,Adama Sanogo,2024,2025,3,81,245,12-Feb-02
13,Ade Murkey,2022,2022,6,77,200,29-Jan-98
14,Adem Bona,2025,2026,2,82,235,28-Mar-03
15,Admiral Schofield,2020,2024,7,77,241,30-Mar-97
16,Adou Thiero,2026,2026,7,79,220,8-May-04
17,Ahmad Caver,2022,2022,6,74,174,12-Sep-96
18,AJ Griffin,2023,2024,3,78,220,25-Aug-03
19,AJ Johnson,2025,2026,6,77,160,1-Dec-04
20,Ajay Mitchell,2025,2026,6,76,190,25-Jun-02
21,Al Horford,2008,2026,2,80,240,3-Jun-86
22,Al-Farouq Aminu,2011,2021,3,81,220,21-Sep-90
23,Alec Burks,2012,2025,6,77,214,20-Jul-91
24,Aleem Ford,2022,2022,3,80,220,22-Dec-97
25,Aleksej Pokusevski,2021,2024,3,85,210,26-Dec-01
26,Alen Smailagić,2020,2021,3,82,215,18-Aug-00
27,Alex Caruso,2018,2026,6,77,186,28-Feb-94
28,Alex Ducas,2025,2025,7,79,220,11-Dec-00
29,Alex Fudge,2024,2024,3,80,200,6-May-03
30,Alex Len,2014,2025,1,85,250,16-Jun-93
31,Alex Reese,2025,2025,3,81,245,21-May-99
32,Alex Sarr,2025,2026,3,85,205,26-Apr-05
33,Alfonzo McKinnie,2018,2022,3,79,215,17-Sep-92
34,Alijah Martin,2026,2026,6,74,210,26-Dec-01
35,Alize Johnson,2019,2023,3,81,212,22-Apr-96
36,Alondes Williams,2023,2026,6,76,210,19-Jun-99
37,Alperen Şengün,2022,2026,2,83,243,25-Jul-02
38,Amari Bailey,2024,2024,6,75,185,17-Feb-04
39,Amari Williams,2026,2026,3,83,250,28-Jan-02
40,Amen Thompson,2024,2026,7,79,200,30-Jan-03
41,Amida Brimah,2021,2021,1,82,230,11-Feb-94
42,Amir Coffey,2020,2026,6,79,210,17-Jun-97
43,Anderson Varejão,2005,2021,4,83,273,28-Sep-82
44,Andre Drummond,2013,2026,1,83,279,10-Aug-93
45,Andre Iguodala,2005,2023,5,78,215,28-Jan-84
46,Andre Jackson Jr.,2024,2026,6,78,209,13-Nov-01
47,Andre Roberson,2014,2021,7,79,210,4-Dec-91
48,Andrew Funk,2024,2024,6,77,200,21-Sep-99
49,Andrew Nembhard,2023,2026,6,76,191,16-Jan-00
50,Andrew Wiggins,2015,2026,5,78,197,23-Feb-95
51,Anfernee Simons,2019,2026,6,75,200,8-Jun-99
52,Anthony Black,2024,2026,6,79,200,20-Jan-04
53,Anthony Davis,2013,2026,4,82,253,11-Mar-93
54,Anthony Edwards,2021,2026,7,76,225,5-Aug-01
55,Anthony Gill,2021,2026,3,79,230,17-Oct-92
56,Anthony Lamb,2021,2023,3,78,227,20-Jan-98
57,Anthony Tolliver,2009,2021,4,80,240,1-Jun-85
58,Anton Watson,2025,2025,3,80,225,6-Oct-00
59,Antonio Reeves,2025,2026,6,77,205,20-Nov-00
60,Anžejs Pasečņiks,2020,2021,1,85,229,20-Dec-95
61,Ariel Hukporti,2025,2026,1,85,246,11-Apr-02
62,Armel Traoré,2025,2025,3,81,246,23-Jan-03
63,Armoni Brooks,2021,2024,6,75,195,5-Jun-98
64,Arnoldas Kulboka,2022,2022,3,82,220,4-Jan-98
65,Aron Baynes,2013,2021,1,82,260,9-Dec-86
66,Asa Newell,2026,2026,3,82,220,5-Oct-05
67,Ashton Hagans,2021,2024,6,75,190,8-Jul-99
68,Ausar Thompson,2024,2026,6,79,205,30-Jan-03
69,Austin Reaves,2022,2026,6,77,197,29-May-98
70,Austin Rivers,2013,2023,6,76,200,1-Aug-92
71,Avery Bradley,2011,2022,6,75,180,26-Nov-90
72,Axel Toupane,2016,2021,7,79,210,23-Jul-92
73,Ayo Dosunmu,2022,2026,6,76,200,17-Jan-00
74,B.J. Johnson,2019,2022,6,79,200,21-Dec-95
75,Bam Adebayo,2018,2026,2,81,255,18-Jul-97
76,Baylor Scheierman,2025,2026,6,78,205,26-Sep-00
77,Ben McLemore,2014,2022,6,75,195,11-Feb-93
78,Ben Saraf,2026,2026,6,78,200,14-Apr-06
79,Ben Sheppard,2024,2026,6,78,190,16-Jul-01
80,Ben Simmons,2018,2025,7,82,240,20-Jul-96
81,Bennedict Mathurin,2023,2026,7,77,210,19-Jun-02
82,Bilal Coulibaly,2024,2026,3,79,195,26-Jul-04
83,Bismack Biyombo,2012,2026,2,80,255,28-Aug-92
84,Blake Griffin,2011,2023,4,81,250,16-Mar-89
85,Blake Hinson,2026,2026,3,80,240,26-Dec-99
86,Blake Wesley,2023,2026,6,76,190,16-Mar-03
87,Boban Marjanović,2016,2024,1,88,290,15-Aug-88
88,Bobby Portis,2016,2026,4,81,250,10-Feb-95
89,Bobi Klintman,2025,2026,3,81,225,6-Mar-03
90,Bogdan Bogdanović,2018,2026,6,77,225,18-Aug-92
91,Bojan Bogdanović,2015,2024,7,79,226,18-Apr-89
92,Bol Bol,2020,2025,4,87,220,16-Nov-99
93,Bones Hyland,2022,2026,6,74,169,14-Sep-00
94,Brad Wanamaker,2019,2022,6,75,210,25-Jul-89
95,Bradley Beal,2013,2026,6,76,207,28-Jun-93
96,Branden Carlson,2025,2026,1,85,220,14-Jun-99
97,Brandin Podziemski,2024,2026,6,76,205,25-Feb-03
98,Brandon Boston Jr.,2022,2025,7,78,188,28-Nov-01
99,Brandon Clarke,2020,2026,3,80,215,19-Sep-96
100,Brandon Goodwin,2019,2022,6,73,180,2-Oct-95
101,Brandon Ingram,2017,2026,3,80,190,2-Sep-97
102,Brandon Knight,2012,2022,6,74,182,2-Dec-91
103,Brandon Miller,2024,2026,5,79,200,22-Nov-02
104,Brandon Williams,2022,2026,6,73,190,22-Nov-99
105,Braxton Key,2022,2025,3,79,225,14-Feb-97
106,Brian Bowen,2020,2021,3,79,199,2-Oct-98
107,Brice Sensabaugh,2024,2026,3,78,235,30-Oct-03
108,Brodric Thomas,2021,2022,6,77,185,28-Jan-97
109,Bronny James,2025,2026,6,74,210,6-Oct-04
110,Brook Lopez,2009,2026,1,85,282,1-Apr-88
111,Brooks Barnhizer,2026,2026,6,77,230,2-Mar-02
112,Bruce Brown,2019,2026,7,76,202,15-Aug-96
113,Bruno Caboclo,2015,2021,4,81,218,21-Sep-95
114,Bruno Fernando,2020,2025,3,81,240,15-Aug-98
115,Bryce McGowens,2023,2026,7,78,190,8-Nov-02
116,Bryn Forbes,2017,2023,6,74,205,23-Jul-93
117,Bub Carrington,2025,2026,6,76,190,21-Jul-05
118,Buddy Boeheim,2023,2026,6,77,205,11-Nov-99
119,Buddy Hield,2017,2026,7,76,220,17-Dec-92
120,C.J. Miles,2006,2022,7,78,220,18-Mar-87
121,Cade Cunningham,2022,2026,6,78,220,25-Sep-01
122,Caleb Houstan,2023,2026,7,80,205,9-Jan-03
123,Caleb Love,2026,2026,6,75,212,27-Sep-01
124,Caleb Martin,2020,2026,3,77,205,28-Sep-95
125,Cam Christie,2025,2026,6,77,190,24-Jul-05
126,Cam Reddish,2020,2025,3,79,230,1-Sep-99
127,Cam Spencer,2025,2026,6,75,205,6-Apr-00
128,Cam Thomas,2022,2026,6,75,210,13-Oct-01
129,Cam Whitmore,2024,2026,3,78,230,8-Jul-04
130,Cameron Johnson,2020,2026,3,80,210,3-Mar-96
131,Cameron McGriff,2022,2022,3,79,220,30-Sep-97
132,Cameron Oliver,2021,2022,3,80,225,11-Jul-96
133,Cameron Payne,2016,2026,6,74,183,8-Aug-94
134,Cameron Reynolds,2019,2021,6,79,225,7-Feb-95
135,Caris LeVert,2017,2026,7,79,205,25-Aug-94
136,Carlik Jones,2022,2023,6,73,174,23-Dec-97
137,Carmelo Anthony,2004,2022,3,79,238,29-May-84
138,Carsen Edwards,2020,2022,6,71,200,12-Mar-98
139,Carter Bryant,2026,2026,7,78,220,26-Nov-05
140,Cason Wallace,2024,2026,6,75,195,7-Nov-03
141,Cassius Stanley,2021,2022,6,77,190,18-Aug-99
142,Cassius Winston,2021,2022,6,73,185,28-Feb-98
143,Cat Barber,2022,2022,6,74,180,25-Jul-94
144,Cedi Osman,2018,2024,3,79,230,8-Apr-95
145,Cedric Coward,2026,2026,5,77,206,11-Sep-03
146,Chance Comanche,2023,2023,4,82,210,14-Apr-96
147,Chandler Hutchison,2019,2022,6,78,210,26-Apr-96
148,Charles Bassey,2022,2026,1,82,230,28-Oct-00
149,Charlie Brown Jr.,2020,2024,6,78,199,2-Feb-97
150,Chasson Randle,2017,2021,6,74,185,5-Feb-93
151,Chaundee Brown Jr.,2022,2022,7,77,215,4-Dec-98
152,Chaz Lanier,2026,2026,6,75,206,19-Dec-01
