Season_ID,Player_ID,Team_ID,G,GS,ThreeP,ThreePA,TwoP,TwoPA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Trp_Dbl
2023,1,17,35,1,44,105,9,20,4,4,6,39,22,6,0,9,31,154,0
2024,1,17,56,0,69,169,14,27,17,19,9,55,30,9,4,12,49,252,0
2025,1,17,73,7,155,363,27,61,22,27,18,156,108,37,7,40,157,541,0
2026,1,17,58,57,168,408,23,46,32,40,16,130,113,29,5,48,140,582,0
2024,2,7,42,0,13,50,41,71,15,23,14,36,20,10,3,14,22,136,0
2025,2,28,26,2,33,101,47,89,43,63,20,66,31,13,6,15,44,236,0
2026,2,28,14,0,8,22,8,19,9,9,7,16,3,4,3,4,15,49,0
2022,3,8,75,75,87,260,347,574,171,230,125,314,188,44,44,133,148,1126,0
2023,3,8,68,68,60,173,369,588,191,314,164,282,203,54,51,98,129,1109,0
2024,3,8,73,73,40,138,358,578,177,269,174,297,259,56,45,105,142,1013,0
2025,3,8,51,42,75,172,189,325,145,179,80,167,164,23,14,73,82,748,0
2026,3,8,24,21,42,108,98,172,87,111,32,113,61,16,4,24,38,409,0
2021,5,12,66,8,67,182,103,254,68,83,15,74,123,46,13,66,94,475,0
2023,5,1,63,6,36,88,56,132,27,32,25,49,89,37,12,36,79,247,0
2024,5,11,78,1,84,217,102,200,58,63,23,100,140,42,6,53,125,514,0
2025,5,11,62,3,72,181,45,87,34,41,13,65,83,19,11,37,64,340,0
2026,5,11,40,1,45,118,29,61,31,36,6,31,37,17,4,24,55,224,0
2021,6,2,46,1,40,108,38,70,22,28,28,99,23,15,9,23,87,218,0
2022,6,2,52,3,31,115,41,67,21,26,15,74,22,20,5,31,70,196,0
2023,6,12,73,60,115,314,137,276,119,142,62,215,98,55,34,75,235,738,0
2024,6,12,72,47,140,334,175,301,107,137,63,212,108,65,49,64,241,877,0
2025,6,12,45,37,84,195,108,184,73,80,37,141,54,35,17,37,114,541,0
2026,6,12,35,32,77,217,71,174,73,90,42,118,72,21,20,48,92,446,0
2022,7,21,50,35,42,138,114,199,62,85,51,127,68,30,10,54,93,416,0
2023,7,21,70,14,48,122,138,241,59,71,68,142,80,39,15,55,110,479,0
2024,7,21,78,4,62,126,150,251,56,71,60,126,86,56,19,56,91,542,0
2025,7,21,76,26,130,339,225,389,74,89,81,214,134,60,18,69,101,914,0
2026,7,21,50,18,82,229,111,222,48,64,34,135,94,49,25,65,69,516,0
2021,8,24,24,0,18,43,39,73,28,37,7,55,19,10,9,19,34,160,0
2022,8,24,14,0,4,14,8,21,6,10,4,23,7,8,4,11,20,34,0
2026,9,29,57,46,92,272,191,369,46,62,92,137,96,49,29,77,151,704,0
2025,10,21,37,0,14,72,11,24,1,2,7,20,12,8,3,4,15,65,0
2021,11,5,14,0,1,10,6,9,0,1,1,4,5,2,1,5,5,15,0
2025,14,23,58,11,0,1,135,191,67,100,92,153,27,26,69,61,125,337,0
2026,14,23,54,6,2,5,92,149,56,83,97,131,23,20,67,42,123,246,0
2022,15,22,38,1,26,79,28,50,12,15,17,72,25,4,5,21,58,146,0
2023,15,22,37,0,24,74,31,48,21,23,23,39,31,8,5,16,61,155,0
2024,15,22,23,0,6,16,4,10,0,2,3,14,7,1,0,5,9,26,0
2026,16,14,18,0,0,1,10,20,8,10,7,12,6,5,2,4,15,28,0
2023,18,1,72,12,101,259,147,274,42,47,37,116,73,42,12,42,87,639,0
2024,18,1,20,0,10,39,8,23,2,2,2,16,5,1,2,8,6,48,0
2025,20,21,36,1,23,60,68,124,29,35,18,50,64,25,4,29,68,234,0
2026,20,21,43,9,48,137,174,319,114,131,29,120,157,61,14,68,93,606,0
2021,21,21,28,28,56,152,106,208,18,22,29,159,94,25,26,29,48,398,0
2022,21,2,69,69,89,265,177,304,80,95,108,422,232,49,92,65,130,701,0
2023,21,2,63,63,145,325,83,154,15,21,73,317,189,30,61,37,121,616,0
2024,21,2,65,33,108,258,106,161,26,30,82,331,168,38,62,48,93,562,0
2025,21,2,60,42,114,314,81,147,34,38,79,290,128,36,51,46,81,538,0
2026,21,10,41,10,67,184,59,106,22,26,41,164,107,30,46,39,48,341,0
2021,23,20,49,5,102,246,108,254,101,118,21,206,107,31,14,49,102,623,0
2022,23,20,81,44,157,389,128,339,217,264,47,350,239,85,26,91,215,944,0
2023,23,9,51,8,99,239,101,220,153,188,19,139,114,38,8,58,98,652,0
2025,23,16,49,14,88,207,27,64,38,49,15,109,55,28,7,29,37,356,0
2021,25,21,45,28,58,207,81,201,31,42,30,182,97,20,42,99,58,367,0
2022,25,21,61,12,57,197,129,259,35,50,73,245,131,39,38,94,88,464,1
2023,25,21,34,25,38,104,70,145,22,35,45,114,64,20,43,43,58,276,0
2021,26,10,15,1,4,10,7,17,2,6,6,10,4,3,5,5,11,28,0
2021,27,14,58,6,55,137,78,168,49,76,31,139,160,64,15,76,108,370,0
2022,27,5,41,18,42,126,60,130,58,73,33,115,165,71,15,57,106,304,0
2023,27,5,67,36,55,151,75,135,59,73,42,154,193,98,46,77,159,374,0
2024,27,5,71,57,136,333,117,208,73,96,62,211,247,120,70,102,181,715,0
2025,27,21,54,3,60,170,80,144,42,51,38,121,137,87,30,37,102,382,0
2026,27,21,43,0,44,141,57,96,31,40,23,92,86,59,14,38,50,277,0
2025,28,21,21,0,10,21,2,9,2,2,9,17,5,5,0,4,12,36,0
2022,30,26,39,10,6,21,88,155,41,63,52,109,45,13,25,43,100,235,0
2023,30,26,26,2,0,2,16,28,11,16,24,36,12,4,11,16,28,43,0
2024,30,26,48,0,0,3,50,78,20,34,46,82,50,11,33,27,66,120,0
2025,32,30,67,67,105,341,221,487,112,165,124,311,161,44,101,114,146,869,0
2026,32,30,41,41,40,119,245,456,94,136,96,223,115,34,82,70,85,704,0
2021,33,14,39,0,16,39,32,54,10,18,22,32,6,7,0,5,26,122,0
2022,33,5,17,3,9,27,15,34,2,8,13,20,5,2,3,7,26,59,0
2026,34,28,14,0,2,13,9,20,10,12,6,8,8,6,3,3,10,34,0
2021,35,3,18,0,1,6,39,62,13,13,27,63,14,5,5,9,16,94,0
2022,37,11,72,13,29,117,220,408,165,232,138,255,185,59,68,145,214,692,0
2023,37,11,75,72,19,57,423,742,206,288,242,436,291,70,70,193,258,1109,2
2024,37,11,63,63,33,111,494,871,244,352,183,406,312,76,46,162,211,1331,2
2025,37,11,76,76,21,90,546,1053,296,428,262,524,372,84,61,194,209,1451,4
2026,37,11,55,55,29,101,414,780,214,309,169,330,341,72,59,183,176,1129,3
2024,38,4,10,0,1,8,7,16,6,7,6,3,7,3,0,4,2,23,0
2026,39,2,17,2,0,0,7,16,8,12,7,23,7,2,9,7,15,22,0
2024,40,11,62,23,8,58,231,388,106,155,148,261,163,78,38,90,141,592,1
2025,40,11,69,42,25,91,363,606,169,247,192,372,265,97,89,138,167,970,3
2026,40,11,60,60,20,97,388,691,217,283,173,290,316,93,37,152,130,1053,0
2021,42,13,44,1,23,56,22,47,27,38,10,34,22,10,0,15,30,140,0
2022,42,13,69,30,96,254,115,212,101,117,26,171,124,38,15,45,87,619,0
2023,42,13,50,9,11,40,45,105,49,63,17,36,53,7,5,21,50,172,0
2024,42,13,70,13,70,184,96,168,61,71,29,119,76,41,14,33,102,463,0
2025,42,13,72,13,101,247,139,263,115,129,32,129,77,40,7,45,120,696,0
2023,44,5,67,0,0,3,166,271,67,125,138,306,33,45,27,75,117,399,0
2024,44,5,79,10,0,3,267,477,129,218,265,443,37,73,48,81,140,663,0
2025,44,23,40,23,3,20,114,214,56,90,109,201,34,39,18,55,94,293,0
2026,44,23,48,24,22,66,102,189,45,73,157,250,46,29,38,47,98,315,0
2021,45,16,63,5,60,182,35,66,25,38,38,183,142,57,35,67,90,275,0
2022,45,10,31,0,17,74,29,47,15,20,21,79,114,27,22,28,34,124,0
2024,46,17,57,8,17,46,33,54,8,11,43,70,50,16,6,28,92,125,0
2025,46,17,67,43,30,76,64,121,12,24,65,117,83,34,14,58,114,230,0
2026,46,17,32,0,5,30,8,24,9,10,13,19,26,8,2,12,25,40,0
2023,49,12,75,63,92,263,192,381,49,62,35,164,341,70,13,126,179,709,0
2024,49,12,68,47,61,171,199,351,45,56,36,105,280,63,6,101,143,626,0
2025,49,12,65,65,51,175,196,364,108,136,34,182,326,79,11,112,149,653,0
2026,49,12,49,49,94,261,199,404,161,197,21,118,359,44,7,123,106,841,0
2021,50,10,71,71,140,368,365,690,170,238,82,265,167,67,70,126,159,1320,0
2022,50,10,73,73,157,399,318,620,149,235,85,240,161,76,51,111,158,1256,0
2023,50,10,37,37,89,225,161,304,44,72,61,125,85,45,28,48,107,633,0
2024,50,10,71,59,91,254,262,526,142,189,108,213,119,42,41,87,147,939,0
2026,50,16,57,57,113,283,229,438,108,137,101,190,159,64,59,91,126,905,0
2021,51,25,64,0,120,282,48,119,46,57,14,126,89,18,8,43,96,502,0
2022,51,25,57,30,179,442,174,355,103,116,26,125,221,30,6,115,110,988,0
2023,51,25,62,62,212,562,255,483,160,179,18,143,253,42,14,128,142,1306,0
2024,51,25,46,46,156,405,204,432,163,178,22,145,255,23,5,126,98,1039,0
