Team_ID,Team_Name,Team_Abbreviation,Team_City,Team_Conference
1,Atlanta Hawks,ATL,Atlanta,Eastern
2,Boston Celtics,BOS,Boston,Eastern
3,Brooklyn Nets,BRK,Brooklyn,Eastern
4,Charlotte Hornets,CHO,Charlotte,Eastern
5,Chicago Bulls,CHI,Chicago,Eastern
6,Cleveland Cavaliers,CLE,Cleveland,Eastern
7,Dallas Mavericks,DAL,Dallas,Western
8,Denver Nuggets,DEN,Denver,Western
9,Detroit Pistons,DET,Detroit,Eastern
10,Golden State Warriors,GSW,Golden State,Western
11,Houston Rockets,HOU,Houston,Western
12,Indiana Pacers,IND,Indiana,Eastern
13,Los Angeles Clippers,LAC,LA Clippers,Western
14,Los Angeles Lakers,LAL,LA Lakers,Western
15,Memphis Grizzlies,MEM,Memphis,Western
16,Miami Heat,MIA,Miami,Eastern
17,Milwaukee Bucks,MIL,Milwaukee,Eastern
18,Minnesota Timberwolves,MIN,Minnesota,Western
19,New Orleans Pelicans,NOP,New Orleans,Western
20,New York Knicks,NYK,New York,Eastern
21,Oklahoma City Thunder,OKC,Oklahoma City,Western
22,Orlando Magic,ORL,Orlando,Eastern
23,Philadelphia 76ers,PHI,Philadelphia,Eastern
24,Phoenix Suns,PHO,Phoenix,Western
25,Portland Trail Blazers,POR,Portland,Western
26,Sacramento Kings,SAC,Sacramento,Western
27,San Antonio Spurs,SAS,San Antonio,Western
28,Toronto Raptors,TOR,Toronto,Eastern
29,Utah Jazz,UTA,Utah,Western
30,Washington Wizards,WAS,Washington,Eastern
