Team_ID,Season_ID,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2021,Atlanta Hawks*,72,241.7,40.8,87.2,0.468,12.4,33.4,0.373,28.4,53.9,0.526,19.7,24.2,0.812,10.6,35.1,45.6,24.1,7.0,4.8,13.2,19.3,113.7
1,2022,Atlanta Hawks*,82,240.3,41.5,88.3,0.47,12.9,34.4,0.374,28.6,53.9,0.531,18.1,22.3,0.812,10.0,33.9,44.0,24.6,7.2,4.2,11.9,18.7,113.9
1,2023,Atlanta Hawks*,82,242.1,44.6,92.4,0.483,10.8,30.5,0.352,33.9,61.8,0.548,18.5,22.6,0.818,11.2,33.2,44.4,25.0,7.1,4.9,12.9,18.8,118.4
1,2024,Atlanta Hawks,82,242.1,43.0,92.5,0.465,13.7,37.7,0.364,29.3,54.8,0.535,18.5,23.2,0.797,12.5,32.2,44.7,26.6,7.5,4.5,13.5,18.6,118.3
1,2025,Atlanta Hawks,82,241.2,43.4,91.8,0.472,13.5,37.7,0.358,29.9,54.1,0.552,18.0,23.2,0.775,11.9,32.6,44.5,29.6,9.7,5.1,15.5,19.1,118.2
1,2026,Atlanta Hawks*,82,240.9,43.6,92.0,0.474,14.6,39.5,0.371,29.0,52.5,0.552,16.6,21.5,0.774,11.0,32.6,43.5,30.1,9.4,4.7,14.2,19.7,118.5
2,2021,Boston Celtics*,72,241.4,41.5,88.9,0.466,13.6,36.4,0.374,27.9,52.5,0.53,16.1,20.8,0.775,10.6,33.6,44.3,23.5,7.7,5.3,14.1,20.4,112.6
2,2022,Boston Celtics*,82,242.7,40.7,87.4,0.466,13.2,37.1,0.356,27.5,50.3,0.547,17.0,20.9,0.816,10.5,35.5,46.1,24.8,7.2,5.8,13.6,18.5,111.8
2,2023,Boston Celtics*,82,243.7,42.2,88.8,0.475,16.0,42.6,0.377,26.2,46.2,0.567,17.5,21.6,0.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,117.9
2,2024,Boston Celtics*,82,241.8,43.9,90.2,0.487,16.5,42.5,0.388,27.4,47.7,0.575,16.3,20.2,0.807,10.7,35.6,46.3,26.9,6.8,6.6,11.9,16.2,120.6
2,2025,Boston Celtics*,82,241.8,41.6,90.0,0.462,17.8,48.2,0.368,23.9,41.8,0.571,15.3,19.1,0.799,11.4,33.9,45.3,26.1,7.2,5.5,11.9,15.9,116.3
2,2026,Boston Celtics*,82,240.6,42.1,90.2,0.467,15.5,42.1,0.367,26.7,48.1,0.555,15.1,18.7,0.807,12.5,33.9,46.4,24.6,7.1,5.0,12.4,19.0,114.9
3,2021,Brooklyn Nets*,72,241.7,43.1,87.3,0.494,14.2,36.1,0.392,29.0,51.2,0.565,18.1,22.5,0.804,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19.0,118.6
3,2022,Brooklyn Nets*,82,240.9,42.0,88.4,0.475,11.5,31.7,0.361,30.5,56.7,0.538,17.5,21.7,0.805,10.3,34.1,44.4,25.3,7.1,5.5,14.1,20.4,112.9
3,2023,Brooklyn Nets*,82,240.6,41.5,85.1,0.487,12.8,33.8,0.378,28.7,51.3,0.559,17.7,22.1,0.8,8.2,32.3,40.5,25.5,7.1,6.2,13.7,21.1,113.4
3,2024,Brooklyn Nets,82,241.5,40.7,89.1,0.456,13.3,36.7,0.362,27.4,52.4,0.522,15.8,20.9,0.756,11.4,32.6,44.1,25.6,6.8,5.2,13.1,18.5,110.4
3,2025,Brooklyn Nets,82,241.2,37.6,86.1,0.437,13.6,39.4,0.344,24.1,46.7,0.515,16.3,20.7,0.787,10.9,30.4,41.3,25.2,7.8,4.3,15.2,20.7,105.1
3,2026,Brooklyn Nets,82,240.9,37.5,84.5,0.443,13.1,38.4,0.34,24.4,46.1,0.528,17.9,23.0,0.78,10.3,29.0,39.3,25.0,8.0,4.3,15.8,21.1,105.9
4,2021,Charlotte Hornets,72,241.0,39.9,87.8,0.455,13.7,37.0,0.369,26.3,50.8,0.517,15.9,20.9,0.761,10.6,33.2,43.8,26.8,7.8,4.8,14.8,18.0,109.5
4,2022,Charlotte Hornets,82,242.4,42.8,91.4,0.468,13.9,38.2,0.365,28.8,53.3,0.542,15.8,21.4,0.74,10.8,33.7,44.6,28.1,8.6,4.9,13.3,19.9,115.3
4,2023,Charlotte Hornets,82,241.8,41.3,90.4,0.457,10.7,32.5,0.33,30.5,57.9,0.528,17.6,23.6,0.749,11.0,33.5,44.5,25.1,7.7,5.2,14.2,20.3,111.0
4,2024,Charlotte Hornets,82,240.6,40.0,87.0,0.46,12.1,34.0,0.355,28.0,53.0,0.528,14.5,18.4,0.786,9.3,31.0,40.3,24.8,6.9,4.5,13.8,18.0,106.6
