GAME_ID,TEAM1,TEAM2,DATE,PF,3PM,DUNKS,OT,CLUTCH
0022401186,ATL,ORL,2025-04-13,23,32,16,0,0
0022401188,BKN,NYK,2025-04-13,49,28,5,0,1
0022401195,UTA,MIN,2025-04-13,31,29,11,0,0
0022401194,MEM,DAL,2025-04-13,28,20,19,0,0
0022401196,OKC,NOP,2025-04-13,44,16,6,0,0
0022401200,SAC,PHX,2025-04-13,16,29,7,0,0
0022401192,MIL,DET,2025-04-13,36,45,5,1,1
0022401187,BOS,CHA,2025-04-13,30,25,4,0,1
0022401199,POR,LAL,2025-04-13,37,24,12,0,0
0022401193,DEN,HOU,2025-04-13,37,22,13,0,0
0022401190,WAS,MIA,2025-04-13,26,26,15,0,1
0022401198,GSW,LAC,2025-04-13,41,29,12,1,1
0022401191,PHI,CHI,2025-04-13,32,25,13,0,0
0022401189,CLE,IND,2025-04-13,43,28,10,1,1
0022401197,TOR,SAS,2025-04-13,36,25,12,0,1
0022401184,LAC,SAC,2025-04-11,37,17,8,0,1
0022401172,IND,ORL,2025-04-11,47,25,11,0,0
0022401185,LAL,HOU,2025-04-11,32,37,16,0,0
0022401171,DET,MIL,2025-04-11,36,35,12,0,1
0022401176,CHI,WAS,2025-04-11,29,23,8,0,0
0022401173,ATL,PHI,2025-04-11,32,28,9,0,0
0022401180,MEM,DEN,2025-04-11,41,19,17,0,1
0022401183,POR,GSW,2025-04-11,39,20,7,0,0
0022401182,PHX,SAS,2025-04-11,16,32,10,0,0
0022401174,BOS,CHA,2025-04-11,25,38,7,0,0
0022401181,OKC,UTA,2025-04-11,31,41,9,0,0
0022401175,NYK,CLE,2025-04-11,35,27,7,0,1
0022401177,NOP,MIA,2025-04-11,29,34,12,0,0
0022401178,TOR,DAL,2025-04-11,27,26,12,0,0
0022401179,BKN,MIN,2025-04-11,39,23,11,0,0
0022401169,ATL,BKN,2025-04-10,45,37,11,0,0
0022401167,DET,NYK,2025-04-10,42,19,15,0,1
0022401168,CLE,IND,2025-04-10,32,31,6,0,1
0022401170,MIN,MEM,2025-04-10,47,38,7,0,0
0022401161,NOP,MIL,2025-04-10,38,33,12,0,0
0022401158,CHA,TOR,2025-04-09,29,30,11,0,0
0022401164,OKC,PHX,2025-04-09,35,27,7,0,0
0022401160,MIA,CHI,2025-04-09,24,26,8,0,1
0022401159,DAL,LAL,2025-04-09,30,21,8,0,0
0022401162,UTA,POR,2025-04-09,49,26,12,1,1
0022401163,GSW,SAS,2025-04-09,42,34,7,0,1
0022401166,LAC,HOU,2025-04-09,25,39,14,0,0
0022401156,ORL,BOS,2025-04-09,20,23,11,0,0
0022401157,PHI,WAS,2025-04-09,45,26,9,0,0
0022401165,DEN,SAC,2025-04-09,38,29,8,0,1
0022401155,SAS,LAC,2025-04-08,30,31,11,0,1
0022401149,ATL,ORL,2025-04-08,46,28,9,0,0
0022401153,OKC,LAL,2025-04-08,41,36,8,0,1
0022401147,CHI,CLE,2025-04-08,30,40,13,0,0
0022401151,NYK,BOS,2025-04-08,38,30,1,1,1
0022401154,GSW,PHX,2025-04-08,29,27,5,0,0
0022401150,NOP,BKN,2025-04-08,40,29,8,0,1
0022401148,IND,WAS,2025-04-08,43,20,4,0,1
0022401146,CHA,MEM,2025-04-08,36,29,12,0,0
0022401152,MIL,MIN,2025-04-08,35,25,10,0,1
0022401144,DET,SAC,2025-04-07,44,24,5,0,1
0022401145,PHI,MIA,2025-04-07,31,28,12,0,0
0022401138,CLE,SAC,2025-04-06,31,24,13,0,1
0022401142,IND,DEN,2025-04-06,34,23,11,0,1
0022401136,ATL,UTA,2025-04-06,37,42,7,0,0
0022400617,NOP,MIL,2025-04-06,28,23,6,0,1
0022401134,BKN,TOR,2025-04-06,39,22,11,0,0
0022401143,GSW,HOU,2025-04-06,29,26,13,0,0
0022401140,PHX,NYK,2025-04-06,40,16,11,0,1
0022401139,POR,SAS,2025-04-06,41,26,8,0,1
0022401137,BOS,WAS,2025-04-06,19,36,10,0,0
0022401133,CHI,CHA,2025-04-06,45,24,5,0,0
0022401135,OKC,LAL,2025-04-06,32,34,7,0,0
0022401128,NYK,ATL,2025-04-05,31,29,7,0,0
0022401130,MIN,PHI,2025-04-05,38,23,14,0,1
0022401129,DET,MEM,2025-04-05,37,20,6,0,1
0022401131,MIA,MIL,2025-04-05,38,23,10,1,1
0022401132,LAC,DAL,2025-04-05,40,18,16,0,0
0022401126,LAL,NOP,2025-04-04,40,30,10,0,0
0022401121,TOR,DET,2025-04-04,38,25,13,0,0
0022401122,CHI,POR,2025-04-04,37,21,8,0,1
0022401120,BOS,PHX,2025-04-04,28,26,7,0,0
0022401119,UTA,IND,2025-04-04,41,28,10,0,0
0022401124,CLE,SAS,2025-04-04,28,38,6,0,1
0022401127,LAC,DAL,2025-04-04,37,18,8,0,0
0022401125,GSW,DEN,2025-04-04,33,28,5,0,0
0022401123,HOU,OKC,2025-04-04,36,26,10,0,0
0022401118,CHA,SAC,2025-04-04,47,24,7,0,0
0022401112,ORL,WAS,2025-04-03,32,23,10,0,0
0022401116,POR,TOR,2025-04-03,32,22,8,0,0
0022401113,BKN,MIN,2025-04-03,30,24,11,0,0
0022401115,PHI,MIL,2025-04-03,32,28,10,0,0
0022401114,MIA,MEM,2025-04-03,39,30,5,0,1
0022401117,GSW,LAL,2025-04-03,44,37,6,0,1
0022401108,DET,OKC,2025-04-02,44,20,11,0,1
0022401111,NOP,LAC,2025-04-02,30,17,8,0,0
0022401110,SAS,DEN,2025-04-02,29,30,8,0,1
0022401109,DAL,ATL,2025-04-02,35,30,14,0,1
0022401104,CHA,IND,2025-04-02,31,28,9,0,0
0022401105,WAS,SAC,2025-04-02,37,27,6,0,1
0022401107,HOU,UTA,2025-04-02,32,29,15,0,0
0022401103,CLE,NYK,2025-04-02,37,23,11,0,0
0022401106,BOS,MIA,2025-04-02,30,26,5,0,0
0022401102,MIN,DEN,2025-04-01,56,31,13,1,1
0022401099,TOR,CHI,2025-04-01,29,34,10,0,0
