"",Season,Date,Score,Excitment,Tension,Comeback,MVP,LVP
0,2024,2024-10-22,"MIN 103, LAL 110",5.4,65.9,1.2,A. Davis: +19.7%,M. Conley: -13.3%
1,2024,2024-10-22,"NYK 109, BOS 132",2.0,37.1,1.0,J. Tatum: +17.4%,M. Bridges: -6.7%
2,2024,2024-10-23,"PHX 116, LAC 113",11.0,86.8,32.8,B. Beal: +36.8%,N. Powell: -19.7%
3,2024,2024-10-23,"MEM 126, UTA 124",9.1,82.7,1.4,S. Aldama: +31.2%,K. George: -27.8%
4,2024,2024-10-23,"CHA 110, HOU 105",9.0,81.2,9.5,J. Green: +31.6%,V. Mici?: -16.3%
5,2024,2024-10-23,"BKN 116, ATL 120",8.1,85.3,2.5,O. Okongwu: +26.6%,D. Schröder: -15.5%
6,2024,2024-10-23,"IND 115, DET 109",7.8,87.3,4.4,B. Mathurin: +31.1%,S. Fontecchio: -11.2%
7,2024,2024-10-23,"CHI 111, NOP 123",5.8,71.8,2.0,C. McCollum: +20.6%,C. White: -16.8%
8,2024,2024-10-23,"MIL 124, PHI 109",4.3,59.3,1.6,T. Prince: +21.8%,B. Lopez: -12.6%
9,2024,2024-10-23,"ORL 116, MIA 97",4.2,65.3,1.8,G. Harris: +18.7%,J. Butler: -9.4%
10,2024,2024-10-23,"GSW 140, POR 104",4.0,55.5,2.1,B. Hield: +12.4%,A. Simons: -8.8%
11,2024,2024-10-23,"CLE 136, TOR 106",3.1,50.6,1.7,E. Mobley: +13.9%,J. Pöltl: -12.8%
12,2024,2024-10-24,"MIN 117, SAC 115",9.8,92.1,5.5,A. Edwards: +57.4%,D. Fox: -22.8%
13,2024,2024-10-24,"SAS 109, DAL 120",6.0,74.2,1.9,K. Thompson: +16.3%,C. Paul: -11.4%
14,2024,2024-10-24,"OKC 102, DEN 87",4.9,66.6,1.9,A. Wiggins: +12.3%,J. Murray: -13.2%
15,2024,2024-10-24,"BOS 122, WAS 102",3.5,54.6,1.9,D. White: +9.2%,K. Kuzma: -9.4%
16,2024,2024-10-25,"NOP 105, POR 103",9.4,82.9,11.0,J. Hawkins: +43.4%,A. Simons: -43.0%
17,2024,2024-10-25,"CHA 120, ATL 125",8.1,81.0,1.0,T. Young: +29.8%,V. Mici?: -12.5%
18,2024,2024-10-25,"CHI 133, MIL 122",6.6,77.5,2.2,C. White: +23.5%,B. Lopez: -12.6%
19,2024,2024-10-25,"PHI 107, TOR 115",6.1,74.5,1.3,S. Barnes: +8.5%,J. Shead: -12.7%
20,2024,2024-10-25,"MEM 108, HOU 128",6.0,66.4,4.0,T. Eason: +14.0%,J. Morant: -11.1%
21,2024,2024-10-25,"PHX 116, LAL 123",5.6,71.5,11.2,A. Reaves: +26.3%,J. Nurki?: -8.2%
22,2024,2024-10-25,"DET 101, CLE 113",5.5,73.5,1.5,D. Wade: +20.1%,I. Stewart: -9.2%
23,2024,2024-10-25,"BKN 101, ORL 116",5.4,74.3,1.5,D. Finney-Smith: +10.6%,B. Simmons: -10.0%
24,2024,2024-10-25,"GSW 127, UTA 86",3.3,50.0,1.9,B. Hield: +23.5%,C. Sexton: -9.0%
25,2024,2024-10-25,"IND 98, NYK 123",3.0,49.7,1.4,M. Bridges: +10.2%,T. Haliburton: -13.3%
26,2024,2024-10-26,"LAC 109, DEN 104",9.3,90.1,5.2,N. Powell: +86.4%,K. Porter Jr.: -20.1%
27,2024,2024-10-26,"BOS 124, DET 118",9.2,80.1,8.9,M. Beasley: +35.1%,C. Cunningham: -33.5%
28,2024,2024-10-26,"MIA 114, CHA 106",7.1,76.9,1.6,J. Butler: +19.6%,T. Salaün: -6.3%
29,2024,2024-10-26,"SAC 127, LAL 131",6.9,80.5,3.5,L. James: +28.5%,A. Len: -9.3%
30,2024,2024-10-26,"HOU 106, SAS 109",6.3,61.9,1.2,V. Wembanyama: +16.6%,J. Smith Jr.: -19.8%
31,2024,2024-10-26,"DAL 102, PHX 114",5.8,73.3,1.4,L. Don?i?: +15.7%,N. Marshall: -7.4%
32,2024,2024-10-26,"CLE 135, WAS 116",4.4,55.7,1.1,J. Allen: +22.1%,K. Kuzma: -13.4%
33,2024,2024-10-26,"ORL 111, MEM 124",3.6,50.0,1.0,J. Huff: +16.5%,F. Wagner: -8.6%
34,2024,2024-10-26,"OKC 114, CHI 95",3.6,53.1,1.1,S. Gilgeous-Alexander: +9.4%,C. White: -11.6%
